0,1
"# 5. Support Vector Classifier on W400_O25_Features

evaluate_model.support_vector_classifier_model()","#-------------------- #5. Support Vector Classifier Model --------------------#

#---------- Grid Search ------------#

Best parameters:  {'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}

Best score:  0.5290002250965319



#---------- Random Search -----------#

Best parameters:  {'kernel': 'rbf', 'gamma': 0.1, 'C': 100}

Best score:  0.5290002250965319



Support Vector Classifier Metrics: 

              precision    recall  f1-score   support



           0       0.71      0.72      0.71       498

           1       0.76      0.81      0.78       520

           2       0.56      0.76      0.65       561

           3       0.50      0.65      0.56       546

           4       0.57      0.52      0.54       558

           5       0.42      0.52      0.47       488

           6       0.47      0.39      0.43       514

           7       0.51      0.43      0.46       548

           8       0.75      0.80      0.77       406

           9       0.72      0.91      0.80       426

          10       0.78      0.81      0.79       497

          11       0.48      0.37      0.42       527

          12       0.38      0.24      0.29       517

          13       0.53      0.42      0.47       439

          14       0.46      0.39      0.43       405



    accuracy                           0.58      7450

   macro avg       0.57      0.58      0.57      7450

weighted avg       0.57      0.58      0.57      7450





K-fold cross-validation scores: [0.08891753 0.0873067  0.08891753]

Mean K-fold cross-validation score: 0.08838058419243987



Straified cross validation scores: [0.09310567 0.09536082 0.09568299]

Mean Straified cross-validation score: 0.09471649484536082
"
"# 6. K-Nearest Neighbors on W400_O25_Features

evaluate_model.knn_classifier_model()","#-------------------- #6. K-Nearest Neighbors Classifier Model --------------------#

#---------- Grid Search ------------#

Best parameters:  {'metric': 'minkowski', 'n_neighbors': 100, 'p': 1, 'weights': 'distance'}

Best score:  0.40815628625352796



#---------- Random Search -----------#

Best parameters:  {'weights': 'distance', 'p': 1, 'n_neighbors': 100, 'metric': 'minkowski'}

Best score:  0.40815628625352796



K-Nearest Neighbors Metrics: 

              precision    recall  f1-score   support



           0       0.48      0.70      0.57       498

           1       0.54      0.73      0.62       520

           2       0.33      0.69      0.45       561

           3       0.40      0.59      0.48       546

           4       0.45      0.20      0.28       558

           5       0.39      0.40      0.39       488

           6       0.25      0.32      0.28       514

           7       0.33      0.31      0.32       548

           8       0.45      0.77      0.56       406

           9       0.87      0.71      0.78       426

          10       0.58      0.67      0.62       497

          11       0.60      0.18      0.28       527

          12       0.52      0.17      0.26       517

          13       0.49      0.16      0.24       439

          14       0.77      0.06      0.11       405



    accuracy                           0.44      7450

   macro avg       0.50      0.44      0.42      7450

weighted avg       0.49      0.44      0.41      7450





K-fold cross-validation scores: [0.35212629 0.35277062 0.33344072]

Mean K-fold cross-validation score: 0.34611254295532645



Straified cross validation scores: [0.35115979 0.34149485 0.34664948]

Mean Straified cross-validation score: 0.3464347079037801
"
"# 7. AdaBoost Classifier on W400_O25_Features

evaluate_model.ada_boost_classifier_model()","#-------------------- #7. Ada-Boost Classifier Model --------------------#

#---------- Grid Search ------------#

Best parameters:  {'estimator': DecisionTreeClassifier(max_depth=1), 'learning_rate': 0.5, 'n_estimators': 100}

Best score:  0.19009834986927085



#---------- Random Search -----------#

Best parameters:  {'n_estimators': 100, 'learning_rate': 0.5, 'estimator': DecisionTreeClassifier(max_depth=1)}

Best score:  0.19009834986927085



Ada-Boost Classifier Metrics: 

              precision    recall  f1-score   support



           0       0.39      0.50      0.44       498

           1       0.28      0.24      0.26       520

           2       0.18      0.07      0.10       561

           3       0.13      0.11      0.12       546

           4       0.18      0.40      0.25       558

           5       0.41      0.46      0.43       488

           6       0.25      0.08      0.13       514

           7       0.11      0.27      0.15       548

           8       0.24      0.34      0.28       406

           9       0.34      0.12      0.17       426

          10       0.26      0.46      0.33       497

          11       0.33      0.10      0.15       527

          12       0.19      0.14      0.16       517

          13       0.26      0.08      0.12       439

          14       0.12      0.03      0.05       405



    accuracy                           0.23      7450

   macro avg       0.24      0.23      0.21      7450

weighted avg       0.24      0.23      0.21      7450





K-fold cross-validation scores: [0.23582474 0.23034794 0.26256443]

Mean K-fold cross-validation score: 0.24291237113402064



Straified cross validation scores: [0.27126289 0.24710052 0.23743557]

Mean Straified cross-validation score: 0.25193298969072164
"
"# 8. Gradient Boost on W400_O25_Features

evaluate_model.gradient_boost_model()","#-------------------- #9. Gradient Boost Classifier Model --------------------#

#---------- Grid Search ------------#

Best parameters:  {'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 100, 'random_state': 42}

Best score:  0.5483481377590774



#---------- Random Search -----------#

Best parameters:  {'random_state': 42, 'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.2}

Best score:  0.5483481377590774



Gradient Boost Classifier Metrics: 

              precision    recall  f1-score   support



           0       0.69      0.70      0.69       498

           1       0.78      0.79      0.78       520

           2       0.59      0.71      0.65       561

           3       0.57      0.64      0.60       546

           4       0.59      0.59      0.59       558

           5       0.48      0.62      0.55       488

           6       0.40      0.41      0.41       514

           7       0.45      0.45      0.45       548

           8       0.75      0.82      0.78       406

           9       0.91      0.88      0.90       426

          10       0.75      0.80      0.78       497

          11       0.50      0.35      0.41       527

          12       0.47      0.35      0.40       517

          13       0.49      0.45      0.47       439

          14       0.46      0.38      0.41       405



    accuracy                           0.59      7450

   macro avg       0.59      0.60      0.59      7450

weighted avg       0.59      0.59      0.59      7450





K-fold cross-validation scores: [0.66462629 0.67815722 0.66849227]

Mean K-fold cross-validation score: 0.6704252577319588



Straified cross validation scores: [0.67590206 0.68009021 0.66849227]

Mean Straified cross-validation score: 0.6748281786941582
"
"# 9. XGBoost Classifier on W400_O25_Features

evaluate_model.xg_boost_classifier_model()","-------------------- #8. XG Boost Classifier Model --------------------#

#---------- Grid Search ------------#

Best parameters:  {'gamma': 0.1, 'learning_rate': 0.2, 'n_estimators': 50, 'subsample': 1.0}

Best score:  0.5698284071823109



#---------- Random Search -----------#

Best parameters:  {'subsample': 1.0, 'n_estimators': 50, 'learning_rate': 0.2, 'gamma': 0.1}

Best score:  0.5698284071823109



XG Boost Classifier Metrics: 

              precision    recall  f1-score   support



           0       0.74      0.76      0.75       498

           1       0.78      0.84      0.81       520

           2       0.61      0.71      0.66       561

           3       0.57      0.69      0.63       546

           4       0.64      0.65      0.64       558

           5       0.54      0.66      0.59       488

           6       0.43      0.41      0.42       514

           7       0.47      0.46      0.46       548

           8       0.74      0.85      0.79       406

           9       0.91      0.92      0.92       426

          10       0.77      0.85      0.81       497

          11       0.51      0.33      0.40       527

          12       0.48      0.34      0.39       517

          13       0.54      0.49      0.51       439

          14       0.50      0.42      0.45       405



    accuracy                           0.62      7450

   macro avg       0.62      0.62      0.62      7450

weighted avg       0.61      0.62      0.61      7450





K-fold cross-validation scores: [0.69652062 0.70779639 0.6994201 ]

Mean K-fold cross-validation score: 0.7012457044673539



Straified cross validation scores: [0.70231959 0.7058634  0.69458763]

Mean Straified cross-validation score: 0.7009235395189003
"
"# 10. Artificial Neural Network on W400_O25_Features

evaluate_model.ann_model()","#----------------------- #10. Artificial Neural Net Model ------------------------#

#---------- Grid Search ------------#

Best parameters:  {'batch_size': 50, 'epochs': 150, 'model__activation': 'relu', 'model__n_neurons': 16}

Best score:  0.44199954980693645



#---------- Random Search -----------#

Best parameters:  {'model__n_neurons': 16, 'model__activation': 'tanh', 'epochs': 150, 'batch_size': 50}

Best score:  0.42964694474745907



Artificial Neural Net Metrics: 

              precision    recall  f1-score   support



           0       0.60      0.53      0.56       498

           1       0.55      0.75      0.64       520

           2       0.42      0.60      0.50       561

           3       0.30      0.41      0.35       546

           4       0.39      0.48      0.43       558

           5       0.43      0.41      0.42       488

           6       0.44      0.29      0.35       514

           7       0.30      0.32      0.31       548

           8       0.66      0.77      0.71       406

           9       0.88      0.81      0.84       426

          10       0.73      0.76      0.74       497

          11       0.35      0.27      0.30       527

          12       0.26      0.19      0.22       517

          13       0.43      0.26      0.32       439

          14       0.33      0.19      0.24       405



    accuracy                           0.47      7450

   macro avg       0.47      0.47      0.46      7450

weighted avg       0.46      0.47      0.46      7450





K-fold cross-validation scores: [0.1129725085910653, 0.13831615120274915]

Average score: 0.12564432989690721



Stratified cross-validation scores: [0.13359106529209622, 0.11855670103092783]

Average score: 0.12607388316151202
"
"# 1. Logistic Regression on W400_O50_Features

evaluate_model.logistic_regression_model()","#------------------- #1. Logistic Regression Model --------------------#

#---------- Grid Search ------------#

Best parameters:  {'C': 10, 'max_iter': 500, 'penalty': 'l2', 'solver': 'lbfgs'}

Best score:  0.4248295658414065



#---------- Random Search -----------#

Best parameters:  {'solver': 'lbfgs', 'penalty': 'l2', 'max_iter': 500, 'C': 10}

Best score:  0.4248295658414065



Logistic Regression Metrics: 

              precision    recall  f1-score   support



           0       0.34      0.44      0.38       745

           1       0.45      0.66      0.53       778

           2       0.31      0.34      0.32       839

           3       0.26      0.57      0.36       818

           4       0.39      0.36      0.37       837

           5       0.47      0.50      0.48       730

           6       0.47      0.38      0.42       770

           7       0.23      0.23      0.23       818

           8       0.66      0.71      0.68       607

           9       0.87      0.86      0.87       633

          10       0.80      0.79      0.79       740

          11       0.35      0.17      0.23       790

          12       0.32      0.11      0.16       781

          13       0.36      0.26      0.30       658

          14       0.41      0.14      0.21       606



    accuracy                           0.43     11150

   macro avg       0.45      0.43      0.42     11150

weighted avg       0.44      0.43      0.42     11150





K-fold cross-validation scores: [0.2184675  0.20705984 0.21937567]

Mean K-fold cross-validation score: 0.21496766936954845



Straified cross validation scores: [0.20662936 0.21287129 0.22260495]

Mean Straified cross-validation score: 0.21403519909252122
"
"# 2. Decision Tree Classifier on W400_O50_Features

evaluate_model.decission_tree_classifier_model()","#-------------------- #2. Decission Tree Classifier Model --------------------#

#---------- Grid Search ------------#

Best parameters:  {'criterion': 'entropy', 'max_depth': 50, 'min_samples_split': 2}

Best score:  0.4876210979547901



#---------- Random Search -----------#

Best parameters:  {'min_samples_split': 2, 'max_depth': 50, 'criterion': 'entropy'}

Best score:  0.4876210979547901



Decission Tree Classifier Metrics: 

              precision    recall  f1-score   support



           0       0.61      0.63      0.62       745

           1       0.66      0.67      0.67       778

           2       0.65      0.60      0.62       839

           3       0.55      0.51      0.53       818

           4       0.44      0.45      0.44       837

           5       0.43      0.40      0.41       730

           6       0.35      0.38      0.36       770

           7       0.44      0.45      0.45       818

           8       0.70      0.70      0.70       607

           9       0.83      0.86      0.85       633

          10       0.71      0.70      0.71       740

          11       0.37      0.40      0.39       790

          12       0.32      0.29      0.31       781

          13       0.37      0.37      0.37       658

          14       0.34      0.35      0.34       606



    accuracy                           0.51     11150

   macro avg       0.52      0.52      0.52     11150

weighted avg       0.52      0.51      0.51     11150





K-fold cross-validation scores: [0.63452432 0.62397762 0.62798708]

Mean K-fold cross-validation score: 0.6288296733450197



Straified cross validation scores: [0.63452432 0.62462333 0.61550054]

Mean Straified cross-validation score: 0.6248827307029856
"
"# 3. Random Forest Classifier on W400_O50_Features

evaluate_model.random_forest_classifier_model()","#-------------------- #3. Random Forest Classifier Model --------------------#

#---------- Grid Search ------------#

Best parameters:  {'bootstrap': True, 'criterion': 'gini', 'max_depth': 20, 'n_estimators': 100}

Best score:  0.6067456045927521



#---------- Random Search -----------#

Best parameters:  {'n_estimators': 100, 'max_depth': 20, 'criterion': 'entropy', 'bootstrap': True}

Best score:  0.6092572658772873



Random Forest Classifier Metrics: 

              precision    recall  f1-score   support



           0       0.79      0.83      0.80       745

           1       0.83      0.85      0.84       778

           2       0.60      0.77      0.67       839

           3       0.64      0.68      0.66       818

           4       0.59      0.66      0.62       837

           5       0.52      0.70      0.60       730

           6       0.52      0.46      0.49       770

           7       0.48      0.59      0.53       818

           8       0.77      0.85      0.81       607

           9       0.92      0.94      0.93       633

          10       0.77      0.86      0.82       740

          11       0.60      0.41      0.49       790

          12       0.62      0.33      0.43       781

          13       0.61      0.47      0.53       658

          14       0.59      0.43      0.50       606



    accuracy                           0.65     11150

   macro avg       0.66      0.65      0.65     11150

weighted avg       0.65      0.65      0.64     11150





K-fold cross-validation scores: [0.74817047 0.74989238 0.73885899]

Mean K-fold cross-validation score: 0.7456406126408494



Straified cross validation scores: [0.75204477 0.75290573 0.73885899]

Mean Straified cross-validation score: 0.7479364944029386
"
"# 4. Gaussian Naive Bayes on W400_O50_Features

evaluate_model.gaussian_naive_bias_classifier_model()","#-------------------- #4. Gaussian Naive Bias Classifier Model --------------------#

#---------- Grid Search ------------#

Best parameters:  {'var_smoothing': 1e-09}

Best score:  0.2938643702906351



#---------- Random Search -----------#

Best parameters:  {'var_smoothing': 1e-09}

Best score:  0.2938643702906351



Gaussian Naive Bias Classifier Metrics: 

              precision    recall  f1-score   support



           0       0.28      0.73      0.40       745

           1       0.24      0.05      0.08       778

           2       0.10      0.05      0.07       839

           3       0.18      0.73      0.29       818

           4       0.26      0.21      0.23       837

           5       0.38      0.28      0.32       730

           6       0.31      0.25      0.28       770

           7       0.15      0.10      0.12       818

           8       0.55      0.59      0.57       607

           9       0.76      0.74      0.75       633

          10       0.57      0.64      0.60       740

          11       0.28      0.02      0.04       790

          12       0.39      0.12      0.18       781

          13       0.21      0.09      0.13       658

          14       0.28      0.12      0.16       606



    accuracy                           0.31     11150

   macro avg       0.33      0.31      0.28     11150

weighted avg       0.32      0.31      0.27     11150





K-fold cross-validation scores: [0.26194576 0.26409815 0.25791173]

Mean K-fold cross-validation score: 0.2613185472616621



Straified cross validation scores: [0.26474387 0.27292294 0.22884822]

Mean Straified cross-validation score: 0.25550501135197995
"
"# 5. Support Vector Classifier on W400_O50_Features

evaluate_model.support_vector_classifier_model()","#-------------------- #5. Support Vector Classifier Model --------------------#

#---------- Grid Search ------------#

Best parameters:  {'C': 1000, 'gamma': 0.1, 'kernel': 'rbf'}

Best score:  0.5744528166487263



#---------- Random Search -----------#

Best parameters:  {'kernel': 'rbf', 'gamma': 0.1, 'C': 1000}

Best score:  0.5744528166487263



Support Vector Classifier Metrics: 

              precision    recall  f1-score   support



           0       0.79      0.77      0.78       745

           1       0.84      0.85      0.85       778

           2       0.59      0.72      0.65       839

           3       0.61      0.65      0.63       818

           4       0.58      0.61      0.60       837

           5       0.48      0.56      0.52       730

           6       0.49      0.44      0.46       770

           7       0.50      0.47      0.48       818

           8       0.76      0.82      0.79       607

           9       0.91      0.90      0.90       633

          10       0.72      0.86      0.79       740

          11       0.49      0.43      0.45       790

          12       0.44      0.36      0.40       781

          13       0.60      0.49      0.54       658

          14       0.50      0.42      0.46       606



    accuracy                           0.62     11150

   macro avg       0.62      0.62      0.62     11150

weighted avg       0.62      0.62      0.62     11150





K-fold cross-validation scores: [0.0990099  0.10374516 0.0977395 ]

Mean K-fold cross-validation score: 0.1001648543194751



Straified cross validation scores: [0.1028842  0.10417563 0.10247578]

Mean Straified cross-validation score: 0.10317853894248881
"
"# 6. K-Nearest Neighbors on W400_O50_Features

evaluate_model.knn_classifier_model()","#-------------------- #6. K-Nearest Neighbors Classifier Model --------------------#

#---------- Grid Search ------------#

Best parameters:  {'metric': 'minkowski', 'n_neighbors': 100, 'p': 1, 'weights': 'distance'}

Best score:  0.45461069250089703



#---------- Random Search -----------#

Best parameters:  {'weights': 'distance', 'p': 1, 'n_neighbors': 100, 'metric': 'minkowski'}

Best score:  0.45461069250089703



K-Nearest Neighbors Metrics: 

              precision    recall  f1-score   support



           0       0.58      0.73      0.64       745

           1       0.56      0.76      0.65       778

           2       0.38      0.76      0.51       839

           3       0.49      0.61      0.54       818

           4       0.43      0.32      0.37       837

           5       0.44      0.40      0.42       730

           6       0.34      0.30      0.32       770

           7       0.32      0.40      0.36       818

           8       0.39      0.72      0.51       607

           9       0.86      0.73      0.79       633

          10       0.62      0.64      0.63       740

          11       0.57      0.28      0.37       790

          12       0.68      0.19      0.30       781

          13       0.56      0.25      0.34       658

          14       0.50      0.13      0.20       606



    accuracy                           0.48     11150

   macro avg       0.51      0.48      0.46     11150

weighted avg       0.51      0.48      0.46     11150





K-fold cross-validation scores: [0.36784331 0.37860525 0.36706136]

Mean K-fold cross-validation score: 0.37116997139878727



Straified cross validation scores: [0.36203186 0.37494619 0.36921421]

Mean Straified cross-validation score: 0.3687307514857818
"
"# 7. AdaBoost Classifier on W400_O50_Features

evaluate_model.ada_boost_classifier_model()","#-------------------- #7. Ada-Boost Classifier Model --------------------#

#---------- Grid Search ------------#

Best parameters:  {'estimator': DecisionTreeClassifier(max_depth=1), 'learning_rate': 0.5, 'n_estimators': 50}

Best score:  0.24255471833512735



#---------- Random Search -----------#

Best parameters:  {'n_estimators': 50, 'learning_rate': 0.5, 'estimator': DecisionTreeClassifier(max_depth=1)}

Best score:  0.24183710082526014



Ada-Boost Classifier Metrics: 

              precision    recall  f1-score   support



           0       0.21      0.57      0.31       745

           1       0.14      0.01      0.01       778

           2       0.15      0.64      0.25       839

           3       0.00      0.00      0.00       818

           4       0.23      0.16      0.19       837

           5       0.35      0.59      0.44       730

           6       0.36      0.11      0.17       770

           7       0.25      0.02      0.03       818

           8       0.29      0.58      0.39       607

           9       0.66      0.58      0.62       633

          10       0.42      0.26      0.32       740

          11       0.15      0.04      0.06       790

          12       0.13      0.15      0.14       781

          13       0.16      0.01      0.02       658

          14       0.09      0.01      0.02       606



    accuracy                           0.24     11150

   macro avg       0.24      0.25      0.20     11150

weighted avg       0.23      0.24      0.19     11150





K-fold cross-validation scores: [0.23740852 0.23956091 0.23961249]

Mean K-fold cross-validation score: 0.23886064087290462



Straified cross validation scores: [0.29358588 0.23181231 0.25855759]

Mean Straified cross-validation score: 0.2613185935994264
"
"# 8. Gradient Boost on W400_O50_Features

evaluate_model.gradient_boost_model()","#-------------------- #9. Gradient Boost Classifier Model --------------------#

#---------- Grid Search ------------#

Best parameters:  {'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 100, 'random_state': 42}

Best score:  0.6081808396124865



#---------- Random Search -----------#

Best parameters:  {'random_state': 42, 'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.2}

Best score:  0.6081808396124865



Gradient Boost Classifier Metrics: 

              precision    recall  f1-score   support



           0       0.74      0.78      0.76       745

           1       0.89      0.83      0.86       778

           2       0.67      0.68      0.67       839

           3       0.62      0.70      0.66       818

           4       0.64      0.65      0.65       837

           5       0.57      0.64      0.60       730

           6       0.47      0.46      0.46       770

           7       0.46      0.58      0.52       818

           8       0.80      0.84      0.82       607

           9       0.92      0.92      0.92       633

          10       0.82      0.85      0.83       740

          11       0.53      0.43      0.48       790

          12       0.46      0.36      0.40       781

          13       0.54      0.48      0.51       658

          14       0.50      0.44      0.47       606



    accuracy                           0.64     11150

   macro avg       0.64      0.64      0.64     11150

weighted avg       0.64      0.64      0.64     11150





K-fold cross-validation scores: [0.71308653 0.70878175 0.70527449]

Mean K-fold cross-validation score: 0.7090475874938081



Straified cross validation scores: [0.70469221 0.71609987 0.69364909]

Mean Straified cross-validation score: 0.7048137214151985
"
"# 9. XGBoost Classifier on W400_O50_Features

evaluate_model.xg_boost_classifier_model()","-------------------- #8. XG Boost Classifier Model --------------------#

#---------- Grid Search ------------#

Best parameters:  {'gamma': 0, 'learning_rate': 0.2, 'n_estimators': 50, 'subsample': 1.0}

Best score:  0.6250448510943668



#---------- Random Search -----------#

Best parameters:  {'subsample': 1.0, 'n_estimators': 50, 'learning_rate': 0.2, 'gamma': 0}

Best score:  0.6250448510943668



XG Boost Classifier Metrics: 

              precision    recall  f1-score   support



           0       0.75      0.81      0.78       745

           1       0.89      0.85      0.87       778

           2       0.64      0.70      0.67       839

           3       0.62      0.70      0.66       818

           4       0.67      0.67      0.67       837

           5       0.57      0.65      0.61       730

           6       0.49      0.45      0.47       770

           7       0.47      0.62      0.53       818

           8       0.77      0.83      0.80       607

           9       0.92      0.94      0.93       633

          10       0.80      0.88      0.84       740

          11       0.57      0.43      0.49       790

          12       0.55      0.35      0.43       781

          13       0.61      0.55      0.58       658

          14       0.54      0.48      0.51       606



    accuracy                           0.66     11150

   macro avg       0.66      0.66      0.65     11150

weighted avg       0.65      0.66      0.65     11150





K-fold cross-validation scores: [0.73805424 0.73461042 0.73110872]

Mean K-fold cross-validation score: 0.7345911256076233



Straified cross validation scores: [0.73611709 0.7300904  0.72680301]

Mean Straified cross-validation score: 0.7310035014359301
"
"# 10. Artificial Neural Network on W400_O50_Features

evaluate_model.ann_model()","#----------------------- #10. Artificial Neural Net Model ------------------------#

#---------- Grid Search ------------#

Best parameters:  {'batch_size': 50, 'epochs': 150, 'model__activation': 'tanh', 'model__n_neurons': 16}

Best score:  0.4786508790814496



#---------- Random Search -----------#

Best parameters:  {'model__n_neurons': 16, 'model__activation': 'tanh', 'epochs': 150, 'batch_size': 50}

Best score:  0.5001794043774668



Artificial Neural Net Metrics: 

              precision    recall  f1-score   support



           0       0.57      0.58      0.57       745

           1       0.73      0.62      0.67       778

           2       0.41      0.65      0.51       839

           3       0.42      0.62      0.50       818

           4       0.54      0.54      0.54       837

           5       0.52      0.54      0.53       730

           6       0.38      0.30      0.34       770

           7       0.32      0.32      0.32       818

           8       0.71      0.77      0.74       607

           9       0.85      0.87      0.86       633

          10       0.76      0.78      0.77       740

          11       0.40      0.40      0.40       790

          12       0.33      0.14      0.20       781

          13       0.47      0.45      0.46       658

          14       0.34      0.20      0.25       606



    accuracy                           0.51     11150

   macro avg       0.52      0.52      0.51     11150

weighted avg       0.51      0.51      0.50     11150





K-fold cross-validation scores: [0.23475391017362607, 0.22789896670493687]

Average score: 0.23132643843928147



Stratified cross-validation scores: [0.2476682450853781, 0.20881171067738233]

Average score: 0.22823997788138023
"
"# 1. Logistic Regression on W500_O25_Features

evaluate_model.logistic_regression_model()","#------------------- #1. Logistic Regression Model --------------------#

#---------- Grid Search ------------#

Best parameters:  {'C': 10, 'max_iter': 100, 'penalty': 'l2', 'solver': 'lbfgs'}

Best score:  0.4216682958618443



#---------- Random Search -----------#

Best parameters:  {'solver': 'lbfgs', 'penalty': 'l2', 'max_iter': 100, 'C': 10}

Best score:  0.4216682958618443



Logistic Regression Metrics: 

              precision    recall  f1-score   support



           0       0.28      0.38      0.32       397

           1       0.43      0.65      0.51       414

           2       0.35      0.34      0.34       447

           3       0.28      0.53      0.37       437

           4       0.33      0.29      0.31       448

           5       0.48      0.49      0.49       388

           6       0.42      0.38      0.39       410

           7       0.20      0.21      0.20       439

           8       0.60      0.70      0.64       324

           9       0.89      0.80      0.84       339

          10       0.78      0.78      0.78       394

          11       0.37      0.20      0.26       422

          12       0.34      0.13      0.19       413

          13       0.40      0.30      0.34       351

          14       0.36      0.17      0.23       325



    accuracy                           0.42      5948

   macro avg       0.43      0.42      0.42      5948

weighted avg       0.42      0.42      0.41      5948





K-fold cross-validation scores: [0.20572812 0.1928975  0.22477805]

Mean K-fold cross-validation score: 0.20780122032335538



Straified cross validation scores: [0.20330779 0.21711057 0.208636  ]

Mean Straified cross-validation score: 0.209684785070568
"
"# 2. Decision Tree Classifier on W500_O25_Features

evaluate_model.decission_tree_classifier_model()","#-------------------- #2. Decission Tree Classifier Model --------------------#

#---------- Grid Search ------------#

Best parameters:  {'criterion': 'entropy', 'max_depth': 50, 'min_samples_split': 5}

Best score:  0.42973281199087654



#---------- Random Search -----------#

Best parameters:  {'min_samples_split': 5, 'max_depth': 20, 'criterion': 'entropy'}

Best score:  0.43041028565222117



Decission Tree Classifier Metrics: 

              precision    recall  f1-score   support



           0       0.57      0.57      0.57       397

           1       0.67      0.71      0.69       414

           2       0.46      0.43      0.44       447

           3       0.46      0.55      0.50       437

           4       0.32      0.31      0.31       448

           5       0.37      0.42      0.39       388

           6       0.25      0.31      0.28       410

           7       0.26      0.30      0.28       439

           8       0.57      0.64      0.60       324

           9       0.85      0.84      0.84       339

          10       0.71      0.63      0.67       394

          11       0.31      0.26      0.28       422

          12       0.36      0.30      0.33       413

          13       0.35      0.31      0.33       351

          14       0.29      0.20      0.24       325



    accuracy                           0.45      5948

   macro avg       0.45      0.45      0.45      5948

weighted avg       0.45      0.45      0.45      5948





K-fold cross-validation scores: [0.55385236 0.57990315 0.60855529]

Mean K-fold cross-validation score: 0.5807702646812184



Straified cross validation scores: [0.58289633 0.57546408 0.57465698]

Mean Straified cross-validation score: 0.5776724648467628
"
"# 3. Random Forest Classifier on W500_O25_Features

evaluate_model.random_forest_classifier_model()","#-------------------- #3. Random Forest Classifier Model --------------------#

#---------- Grid Search ------------#

Best parameters:  {'bootstrap': True, 'criterion': 'entropy', 'max_depth': 20, 'n_estimators': 100}

Best score:  0.5635861301183882



#---------- Random Search -----------#

Best parameters:  {'n_estimators': 50, 'max_depth': 20, 'criterion': 'gini', 'bootstrap': True}

Best score:  0.557535027696318



Random Forest Classifier Metrics: 

              precision    recall  f1-score   support



           0       0.63      0.69      0.65       397

           1       0.67      0.82      0.73       414

           2       0.60      0.64      0.62       447

           3       0.57      0.58      0.58       437

           4       0.47      0.60      0.53       448

           5       0.47      0.69      0.56       388

           6       0.40      0.48      0.43       410

           7       0.41      0.46      0.44       439

           8       0.63      0.84      0.72       324

           9       0.95      0.83      0.89       339

          10       0.78      0.78      0.78       394

          11       0.58      0.29      0.38       422

          12       0.54      0.28      0.37       413

          13       0.52      0.36      0.43       351

          14       0.52      0.27      0.35       325



    accuracy                           0.57      5948

   macro avg       0.58      0.57      0.56      5948

weighted avg       0.58      0.57      0.56      5948





K-fold cross-validation scores: [0.69624849 0.70137207 0.69612591]

Mean K-fold cross-validation score: 0.6979154898456694



Straified cross validation scores: [0.69342477 0.70258273 0.68724778]

Mean Straified cross-validation score: 0.6944184255087368
"
"# 4. Gaussian Naive Bayes on W500_O25_Features

evaluate_model.gaussian_naive_bias_classifier_model()","#-------------------- #4. Gaussian Naive Bias Classifier Model --------------------#

#---------- Grid Search ------------#

Best parameters:  {'var_smoothing': 0.0001}

Best score:  0.2837976539589443



#---------- Random Search -----------#

Best parameters:  {'var_smoothing': 0.0001}

Best score:  0.2837976539589443



Gaussian Naive Bias Classifier Metrics: 

              precision    recall  f1-score   support



           0       0.30      0.13      0.18       397

           1       0.29      0.04      0.07       414

           2       0.13      0.06      0.08       447

           3       0.16      0.89      0.27       437

           4       0.32      0.23      0.27       448

           5       0.36      0.28      0.32       388

           6       0.28      0.31      0.30       410

           7       0.17      0.15      0.16       439

           8       0.45      0.61      0.52       324

           9       0.76      0.72      0.74       339

          10       0.60      0.59      0.59       394

          11       0.49      0.12      0.20       422

          12       0.07      0.00      0.00       413

          13       0.27      0.15      0.19       351

          14       0.30      0.16      0.21       325



    accuracy                           0.29      5948

   macro avg       0.33      0.30      0.27      5948

weighted avg       0.32      0.29      0.26      5948





K-fold cross-validation scores: [0.19967729 0.18644068 0.23365617]

Mean K-fold cross-validation score: 0.2065913805099234



Straified cross validation scores: [0.17507059 0.21993543 0.21186441]

Mean Straified cross-validation score: 0.20229014385351343
"
